four percent inflation is too high,"[{'entity': 'four percent inflation', 'type': 'builtin.percentage', 'startIndex': 0, 'endIndex': 21, 'resolution': {'value': '4%'}}, {'type': 'builtin.number', 'entity': 'four', 'startIndex': 0, 'endIndex': 3, 'resolution': {'value': '4'}}]"
they'll quote to me that inflation's at two percent.,"[{'entity': 'two percent', 'type': 'builtin.percentage', 'startIndex': 40, 'endIndex': 50, 'resolution': {'value': '2%'}}, {'type': 'builtin.number', 'entity': 'two', 'startIndex': 40, 'endIndex': 42, 'resolution': {'value': '2'}}]"
inflation's dropped to its lowest level in thirty years.,"[{'type': 'builtin.datetimeV2', 'entity': 'thirty years', 'startIndex': 43, 'endIndex': 54}, {'type': 'builtin.number', 'entity': 'thirty', 'startIndex': 43, 'endIndex': 48, 'resolution': {'value': '30'}}]"
Inflation's fallen again to a new thirty year low,"[{'type': 'builtin.datetimeV2', 'entity': 'a new thirty year low', 'startIndex': 28, 'endIndex': 48}, {'type': 'builtin.number', 'entity': 'thirty', 'startIndex': 34, 'endIndex': 39, 'resolution': {'value': '30'}}]"
we didn't have inflation thirty years ago.,"[{'type': 'builtin.datetimeV2', 'entity': 'thirty years', 'startIndex': 25, 'endIndex': 36}, {'type': 'builtin.number', 'entity': 'thirty', 'startIndex': 25, 'endIndex': 30, 'resolution': {'value': '30'}}]"
define defined benefit pension,"[{'type': 'builtin.number', 'entity': 'benefit', 'startIndex': 15, 'endIndex': 21}]"
Whats a good amount of financial risk one should take.,"[{'type': 'builtin.number', 'entity': 'one', 'startIndex': 38, 'endIndex': 40, 'resolution': {'value': '1'}}]"
How can I take advantage of an annual allowance?,"[{'type': 'builtin.datetimeV2', 'entity': 'an annual allowance', 'startIndex': 28, 'endIndex': 46}]"
What is the annual allowance?,"[{'type': 'builtin.datetimeV2', 'entity': 'the annual allowance', 'startIndex': 8, 'endIndex': 27}]"
please explain annual allowance to me,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 15, 'endIndex': 30}]"
I want to know more about annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 26, 'endIndex': 41}]"
I'd like to know more about annual allowance?,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 28, 'endIndex': 43}]"
Define annual allowance.,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 7, 'endIndex': 22}]"
Explain what an annual allowance.,"[{'type': 'builtin.datetimeV2', 'entity': 'an annual allowance', 'startIndex': 13, 'endIndex': 31}]"
Explain annual allowance to me.,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 8, 'endIndex': 23}]"
What is an annual allowance?,"[{'type': 'builtin.datetimeV2', 'entity': 'an annual allowance', 'startIndex': 8, 'endIndex': 26}]"
Any easy to understand info about annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 34, 'endIndex': 49}]"
tell me about annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 14, 'endIndex': 29}]"
"AVA, tell me about annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 19, 'endIndex': 34}]"
"bot, tell me about annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 19, 'endIndex': 34}]"
I want to know about annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 21, 'endIndex': 36}]"
I want to know about annual allowance adviser,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance adviser', 'startIndex': 21, 'endIndex': 44}]"
"AVA, I want to know about annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 26, 'endIndex': 41}]"
"assistant, I want to know about annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 32, 'endIndex': 47}]"
what's the definition of annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 25, 'endIndex': 40}]"
what's the definition of annual allowance adviser,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance adviser', 'startIndex': 25, 'endIndex': 48}]"
what's the definition of annual allowance AVA,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 25, 'endIndex': 40}]"
what's the definition of annual allowance bot,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance bot', 'startIndex': 25, 'endIndex': 44}]"
how do you define annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 18, 'endIndex': 33}]"
"adviser, how do you define annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 27, 'endIndex': 42}]"
how do you define annual allowance assistant,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance assistant', 'startIndex': 18, 'endIndex': 43}]"
give me the definition of annual allowance please,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance please', 'startIndex': 26, 'endIndex': 48}]"
give me the definition of annual allowance please AVA,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance please', 'startIndex': 26, 'endIndex': 48}]"
"assistant, give me the definition of annual allowance please","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance please', 'startIndex': 37, 'endIndex': 59}]"
annual allowance definition,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance definition', 'startIndex': 0, 'endIndex': 26}]"
annual allowance definition adviser,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance definition', 'startIndex': 0, 'endIndex': 26}]"
"AVA, annual allowance definition","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance definition', 'startIndex': 5, 'endIndex': 31}]"
annual allowance definition bot,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance definition', 'startIndex': 0, 'endIndex': 26}]"
define annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'define annual allowance', 'startIndex': 0, 'endIndex': 22}]"
"AVA, define annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'define annual allowance', 'startIndex': 5, 'endIndex': 27}]"
define annual allowance bot,"[{'type': 'builtin.datetimeV2', 'entity': 'define annual allowance bot', 'startIndex': 0, 'endIndex': 26}]"
explain annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 8, 'endIndex': 23}]"
"AVA, explain annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 13, 'endIndex': 28}]"
explain annual allowance assistant,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance assistant', 'startIndex': 8, 'endIndex': 33}]"
brief me about annual allowance,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 15, 'endIndex': 30}]"
"AVA, brief me about annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 20, 'endIndex': 35}]"
"bot, brief me about annual allowance","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance', 'startIndex': 20, 'endIndex': 35}]"
annual allowance information please,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance information', 'startIndex': 0, 'endIndex': 27}]"
annual allowance information please AVA,"[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance information', 'startIndex': 0, 'endIndex': 27}]"
"assistant, annual allowance information please","[{'type': 'builtin.datetimeV2', 'entity': 'annual allowance information', 'startIndex': 11, 'endIndex': 38}]"
What can you tell me about a self invested pension plan?,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"Yes, I would like to understand about SIPP","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
Please give me information on the self-invested pension plan?,"[{'type': 'account_type::SIPP', 'entity': 'self-invested pension'}]"
Could you explain me more about SIPP and how does it work?,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
What is SIPP?,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
I need further information on SIPP's.,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
Can you explain SIPP to me?,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
Can you explain what SIPP is?,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
What is SIPP?,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
tell me about sipp,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"adviser, tell me about sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
tell me about sipp AVA,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
tell me about sipp bot,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
I want to know about sipp,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
I want to know about sipp AVA,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"assistant, I want to know about sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
what's the definition of sipp,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"AVA, what's the definition of sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
what's the definition of sipp assistant,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
how do you define sipp,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"AVA, how do you define sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
how do you define sipp bot,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"assistant, how do you define sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
give me the definition of sipp please,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"assistant, give me the definition of sipp please","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
sipp definition,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"AVA, sipp definition","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
sipp definition assistant,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
define sipp,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"adviser, define sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"AVA, define sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"assistant, define sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
explain sipp,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
explain sipp AVA,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
explain sipp bot,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
brief me about sipp,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
brief me about sipp adviser,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
brief me about sipp AVA,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"bot, brief me about sipp","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
sipp information please,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
sipp information please AVA,"[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
"assistant, sipp information please","[{'type': 'account_type::SIPP', 'entity': 'sipp'}]"
tell me about self invested pension,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"adviser, tell me about self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"bot, tell me about self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
I want to know about self invested pension,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"adviser, I want to know about self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"AVA, I want to know about self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"assistant, I want to know about self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
what's the definition of self invested pension,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
what's the definition of self invested pension adviser,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
what's the definition of self invested pension AVA,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
how do you define self invested pension,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"adviser, how do you define self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"AVA, how do you define self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"assistant, how do you define self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
give me the definition of self invested pension please,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"adviser, give me the definition of self invested pension please","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
give me the definition of self invested pension please AVA,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
give me the definition of self invested pension please assistant,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
self invested pension definition,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"adviser, self invested pension definition","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"assistant, self invested pension definition","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
define self invested pension,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
define self invested pension adviser,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
define self invested pension AVA,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
define self invested pension assistant,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
explain self invested pension,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
explain self invested pension adviser,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
"AVA, explain self invested pension","[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
brief me about self invested pension,"[{'type': 'account_type::SIPP', 'entity': 'self invested pension'}]"
